Player,Team,Age,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Aaron Gordon,DEN,26,74,45,29,31.6,69.0,31.0,62.1,7.2,22.8,13.9,15.1,15.2,54.9,62.7,37.3,85.7,14.3,67.2,32.8
Aaron Holiday,PHX,25,60,33,27,16.0,70.5,29.5,57.8,8.0,28.9,12.0,13.3,17.4,49.7,35.2,64.8,72.2,27.8,44.4,55.6
Aaron Nesmith,BOS,22,49,30,19,11.0,38.6,61.4,43.7,8.7,45.9,13.7,10.4,16.9,35.0,80.0,20.0,92.9,7.1,85.3,14.7
Aaron Wiggins,OKC,23,50,13,37,24.2,59.1,40.9,54.8,1.9,30.3,15.4,14.9,14.4,52.9,56.1,43.9,97.6,2.4,67.3,32.7
Al Horford,BOS,35,67,44,23,29.1,52.9,47.1,50.1,6.9,38.0,6.3,11.9,15.4,43.2,68.5,31.5,97.6,2.4,78.3,21.7
Alec Burks,NYK,30,78,35,43,28.3,46.6,53.4,27.2,6.6,49.8,6.9,23.0,15.0,20.6,40.7,59.3,74.7,25.3,59.3,40.7
Aleksej Pokusevski,OKC,20,61,19,42,20.2,56.8,43.2,55.6,5.6,36.9,17.0,7.5,19.0,50.0,53.5,46.5,94.7,5.3,66.1,33.9
Alex Caruso,CHI,28,41,24,17,28.0,50.8,49.2,39.5,3.9,41.4,9.9,19.1,21.1,35.5,56.7,43.3,92.9,7.1,71.6,28.4
Alperen Sengun,HOU,19,70,18,52,20.3,78.2,21.8,63.1,1.2,12.6,4.4,24.3,14.6,61.9,43.3,56.7,96.4,3.6,49.6,50.4
Amir Coffey,LAC,24,66,30,36,22.9,45.2,54.8,37.5,4.1,45.9,18.6,16.6,17.2,33.3,57.8,42.2,94.4,5.6,74.2,25.8
Andre Drummond,BKN,28,70,39,31,19.7,99.3,0.7,84.7,0.7,0.0,8.5,15.3,15.9,83.9,59.8,40.2,0.0,0.0,59.8,40.2
Andrew Wiggins,GSW,27,71,45,26,31.9,61.1,38.9,50.8,10.6,37.3,10.6,11.9,14.0,40.2,49.5,50.5,89.5,10.5,62.6,37.4
Anfernee Simons,POR,22,57,25,32,29.5,44.5,55.5,35.2,11.9,54.4,8.5,10.4,14.1,23.3,19.5,80.5,65.4,34.6,42.8,57.2
Anthony Davis,LAL,29,40,17,23,35.1,89.9,10.1,77.0,15.5,4.2,9.4,18.8,16.1,61.5,64.7,35.3,84.6,15.4,65.4,34.6
Anthony Edwards,MIN,20,70,38,32,34.4,51.7,48.3,43.5,4.7,42.5,16.8,14.0,20.2,38.8,36.4,63.6,56.0,44.0,44.2,55.8
Anthony Gill,WAS,29,41,15,26,10.1,74.5,25.5,51.5,0.0,23.9,3.1,24.6,13.5,51.5,78.6,21.4,100,0.0,83.6,16.4
Armoni Brooks,TOR,23,52,19,33,15.6,14.2,85.8,17.0,1.4,77.4,8.5,5.6,15.2,15.5,66.7,33.3,82.2,17.8,78.4,21.6
Austin Reaves,LAL,23,58,26,32,22.7,45.8,54.2,43.6,4.6,36.9,14.4,19.5,20.5,39.0,57.6,42.4,100,0.0,72.9,27.1
Austin Rivers,DEN,29,65,40,25,22.0,33.4,66.6,32.0,0.0,60.5,9.8,7.5,11.9,32.0,46.8,53.2,84.6,15.4,67.9,32.1
Avery Bradley,LAL,31,62,27,35,22.7,40.0,60.0,33.5,10.7,62.4,12.2,4.1,19.5,22.8,63.6,36.4,93.9,6.1,80.4,19.6
Ayo Dosunmu,CHI,22,74,41,33,27.2,64.8,35.2,61.6,12.4,31.0,26.3,7.4,20.8,49.2,59.3,40.7,98.5,1.5,69.1,30.9
Bam Adebayo,MIA,24,55,35,20,32.6,99.2,0.8,76.2,8.0,0.0,11.3,23.8,15.7,68.2,60.8,39.2,0.0,0.0,60.8,39.2
Ben McLemore,POR,29,61,20,41,19.8,22.7,77.3,19.7,7.1,69.3,16.8,11.0,21.5,12.6,83.6,16.4,96.5,3.5,92.6,7.4
Blake Griffin,BKN,33,56,29,27,17.1,53.7,46.3,52.9,2.2,31.8,8.9,15.3,16.4,50.7,62.1,37.9,94.7,5.3,71.4,28.6
Bobby Portis,MIL,27,70,44,26,28.3,60.9,39.1,53.7,12.1,38.0,9.4,8.3,13.0,41.7,56.2,43.8,100,0.0,70.2,29.8
Bogdan Bogdanovic,ATL,29,60,31,29,29.3,42.2,57.8,37.4,10.3,52.4,11.6,10.2,16.0,27.1,38.3,61.7,78.8,21.2,57.9,42.1
Bojan Bogdanovic,UTA,32,67,44,23,30.9,49.6,50.4,38.7,2.7,44.0,13.1,17.3,14.0,36.0,56.5,43.5,92.0,8.0,71.8,28.2
Bones Hyland,DEN,21,67,40,27,18.9,37.2,62.8,28.3,6.3,56.4,12.9,15.3,14.7,22.0,37.2,62.8,71.2,28.8,56.6,43.4
Bradley Beal,WAS,28,40,17,23,36.0,72.8,27.2,61.4,17.0,20.4,9.1,18.2,12.8,44.4,36.5,63.5,60.3,39.7,40.8,59.2
Brandon Boston Jr.,LAC,20,50,25,25,14.4,64.8,35.2,51.1,16.0,31.4,13.8,17.5,16.9,35.1,61.4,38.6,58.8,41.2,60.7,39.3
Brandon Clarke,MEM,25,62,43,19,19.6,94.9,5.1,84.4,2.8,2.4,11.7,13.2,16.7,81.6,69.4,30.6,100,0.0,70.0,30.0
Brandon Ingram,NOP,24,55,29,26,34.0,77.0,23.0,60.8,30.5,17.8,8.4,21.4,13.3,30.3,40.1,59.9,89.2,10.8,48.1,51.9
Bruce Brown,BKN,25,69,34,35,24.1,81.7,18.3,68.0,1.7,17.4,21.2,14.6,19.2,66.3,73.7,26.3,97.1,2.9,77.1,22.9
Bryn Forbes,DEN,28,74,36,38,16.9,45.9,54.1,33.8,16.3,54.9,10.5,11.3,12.8,17.5,70.4,29.6,95.7,4.3,83.6,16.4
Buddy Hield,IND,29,79,26,53,30.8,34.7,65.3,29.2,7.8,62.1,17.7,8.7,19.4,21.4,43.3,56.7,84.3,15.7,67.4,32.6
