Player,Team,Age,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Aaron Gordon,DEN,26,75,46,29,31.7,68.8,31.2,61.6,7.3,23.2,13.9,15.2,15.2,54.4,62.8,37.2,85.1,14.9,67.3,32.7
Aaron Holiday,PHX,25,63,34,29,16.2,69.5,30.5,56.0,7.5,29.3,11.3,14.7,18.3,48.5,34.8,65.2,71.8,28.2,44.4,55.6
Aaron Nesmith,BOS,22,52,32,20,11.0,36.8,63.2,41.8,8.2,47.4,13.8,10.8,15.8,33.7,80.5,19.5,93.5,6.5,86.1,13.9
Aaron Wiggins,OKC,23,50,13,37,24.2,59.1,40.9,54.8,1.9,30.3,15.4,14.9,14.4,52.9,56.1,43.9,97.6,2.4,67.3,32.7
Al Horford,BOS,35,69,46,23,29.1,53.4,46.6,50.5,6.6,38.1,6.3,11.4,15.0,43.9,67.8,32.2,97.8,2.2,77.8,22.2
Alec Burks,NYK,30,81,37,44,28.6,46.6,53.4,27.1,6.4,49.9,7.1,23.0,14.9,20.8,43.0,57.0,75.2,24.8,60.7,39.3
Aleksej Pokusevski,OKC,20,61,19,42,20.2,56.8,43.2,55.6,5.6,36.9,17.0,7.5,19.0,50.0,53.5,46.5,94.7,5.3,66.1,33.9
Alex Caruso,CHI,28,41,24,17,28.0,50.8,49.2,39.5,3.9,41.4,9.9,19.1,21.1,35.5,56.7,43.3,92.9,7.1,71.6,28.4
Alperen Sengun,HOU,19,72,18,54,20.7,77.7,22.3,63.6,1.2,12.6,4.8,23.8,14.0,62.4,43.6,56.4,96.6,3.4,49.8,50.2
Amir Coffey,LAC,24,69,33,36,22.7,45.5,54.5,37.2,4.2,46.5,17.9,16.3,17.1,33.0,59.1,40.9,93.8,6.3,74.9,25.1
Andre Drummond,BKN,28,73,42,31,19.7,99.3,0.7,85.2,0.7,0.0,7.9,14.8,14.8,84.5,59.1,40.9,0.0,0.0,59.1,40.9
Andrew Wiggins,GSW,27,73,47,26,31.9,60.8,39.2,50.6,10.7,37.5,10.7,11.9,13.8,40.0,49.7,50.3,89.8,10.2,62.9,37.1
Anfernee Simons,POR,22,57,25,32,29.5,44.5,55.5,35.2,11.9,54.4,8.5,10.4,14.1,23.3,19.5,80.5,65.4,34.6,42.8,57.2
Anthony Davis,LAL,29,40,17,23,35.1,89.9,10.1,77.0,15.5,4.2,9.4,18.8,16.1,61.5,64.7,35.3,84.6,15.4,65.4,34.6
Anthony Edwards,MIN,20,72,39,33,34.2,51.6,48.4,43.6,4.7,42.1,16.6,14.3,20.0,38.9,36.5,63.5,55.3,44.7,43.9,56.1
Anthony Gill,WAS,29,44,15,29,10.5,76.1,23.9,53.3,0.0,23.3,5.6,23.4,13.9,53.3,77.1,22.9,100,0.0,82.3,17.7
Armoni Brooks,TOR,23,54,20,34,15.6,13.8,86.2,16.7,1.4,77.1,8.3,6.2,15.6,15.3,66.7,33.3,82.4,17.6,78.6,21.4
Austin Reaves,LAL,23,61,28,33,23.2,47.5,52.5,41.9,5.0,35.8,14.4,22.3,20.5,36.9,55.9,44.1,98.1,1.9,71.2,28.8
Austin Rivers,DEN,29,67,41,26,22.1,34.0,66.0,33.3,0.0,58.8,9.9,7.9,11.4,33.3,46.3,53.7,84.8,15.2,67.1,32.9
Avery Bradley,LAL,31,62,27,35,22.7,40.0,60.0,33.5,10.7,62.4,12.2,4.1,19.5,22.8,63.6,36.4,93.9,6.1,80.4,19.6
Ayo Dosunmu,CHI,22,77,42,35,27.4,65.2,34.8,61.3,12.4,30.9,25.5,7.8,20.9,48.9,57.2,42.8,98.6,1.4,67.6,32.4
Bam Adebayo,MIA,24,56,36,20,32.6,99.2,0.8,76.0,7.9,0.0,11.3,24.0,15.5,68.2,60.8,39.2,0.0,0.0,60.8,39.2
Ben McLemore,POR,29,64,20,44,20.1,22.6,77.4,19.8,7.3,69.2,16.6,11.0,20.8,12.5,84.6,15.4,96.7,3.3,93.1,6.9
Blake Griffin,BKN,33,56,29,27,17.1,53.7,46.3,52.9,2.2,31.8,8.9,15.3,16.4,50.7,62.1,37.9,94.7,5.3,71.4,28.6
Bobby Portis,MIL,27,72,46,26,28.2,61.2,38.8,54.0,12.4,37.9,9.4,8.1,13.4,41.6,55.6,44.4,100,0.0,69.8,30.2
Bogdan Bogdanovic,ATL,29,63,33,30,29.3,42.2,57.8,36.4,10.1,53.4,13.3,10.2,16.9,26.3,38.2,61.8,79.3,20.7,58.5,41.5
Bojan Bogdanovic,UTA,32,69,45,24,30.9,49.6,50.4,38.6,2.7,43.5,13.5,17.9,13.9,35.9,56.8,43.2,91.7,8.3,71.8,28.2
Bones Hyland,DEN,21,69,41,28,19.0,37.3,62.7,28.4,6.3,56.3,12.9,15.3,14.3,22.1,36.4,63.6,68.7,31.3,54.8,45.2
Bradley Beal,WAS,28,40,17,23,36.0,72.8,27.2,61.4,17.0,20.4,9.1,18.2,12.8,44.4,36.5,63.5,60.3,39.7,40.8,59.2
Brandon Boston Jr.,LAC,20,51,26,25,14.9,65.8,34.2,53.1,16.3,29.7,14.6,17.2,16.3,36.7,61.5,38.5,58.8,41.2,60.8,39.2
Brandon Clarke,MEM,25,64,44,20,19.5,95.1,4.9,85.0,2.7,2.3,12.3,12.7,16.8,82.3,70.0,30.0,100,0.0,70.5,29.5
Brandon Ingram,NOP,24,55,29,26,34.0,77.0,23.0,60.8,30.5,17.8,8.4,21.4,13.3,30.3,40.1,59.9,89.2,10.8,48.1,51.9
Bruce Brown,BKN,25,72,37,35,24.6,81.4,18.6,67.4,1.5,17.6,20.7,15.0,18.5,65.8,74.3,25.7,97.4,2.6,77.7,22.3
Bryn Forbes,DEN,28,75,36,39,17.1,45.3,54.7,32.9,15.7,55.2,10.9,11.9,13.3,17.2,69.7,30.3,95.9,4.1,83.5,16.5
Buddy Hield,IND,29,81,26,55,30.8,34.8,65.2,29.1,7.7,62.1,18.3,8.8,19.4,21.3,44.0,56.0,84.7,15.3,67.9,32.1
CJ Elleby,POR,21,58,17,41,20.2,59.1,40.9,49.6,4.1,32.7,17.7,17.7,22.4,45.4,63.1,36.9,97.3,2.7,73.6,26.4
CJ McCollum,NOP,30,62,28,34,34.6,59.7,40.3,51.7,18.7,39.9,11.9,8.4,11.6,33.0,25.4,74.6,65.9,34.1,39.2,60.8
Cade Cunningham,DET,20,64,20,44,32.6,64.8,35.2,56.6,10.2,30.7,6.6,12.7,14.5,46.3,23.5,76.5,71.1,28.9,36.1,63.9
Caleb Martin,MIA,26,60,37,23,22.9,62.2,37.8,52.3,5.8,34.8,18.5,12.9,21.8,46.5,60.4,39.6,90.6,9.4,69.7,30.3
Cam Reddish,NYK,22,49,20,29,20.7,54.9,45.1,39.8,8.0,39.8,13.3,20.4,13.5,31.8,52.5,47.5,83.3,16.7,64.8,35.2
Cam Thomas,BKN,20,67,32,35,17.6,65.4,34.6,60.0,25.3,24.7,13.0,15.3,13.5,34.7,41.5,58.5,70.2,29.8,47.7,52.3
Cameron Johnson,PHX,26,66,50,16,26.2,35.6,64.4,27.5,1.9,60.6,15.2,11.9,17.2,25.5,67.3,32.7,97.6,2.4,85.3,14.7
Cameron Payne,PHX,27,58,46,12,22.0,64.1,35.9,54.0,8.9,34.0,8.5,12.0,12.5,45.0,18.3,81.7,63.4,36.6,31.7,68.3
Caris LeVert,CLE,27,58,23,35,30.7,70.0,30.0,60.2,7.9,24.9,10.6,14.9,14.2,52.3,30.3,69.7,63.4,36.6,37.5,62.5
