Player, %AST, %OREB, %DREB, %STL, %BLK, FREQ_6, Diff%_6, FREQ_15, Diff%_15, Freq_Handoff_Off, eFG%_Handoff_Off, Freq_Iso_Def, eFG%_Iso_Def, Freq_Iso_Off, eFG%_Iso_Off, Freq_OffScreen_Off, eFG%_OffScreen_Off, Freq_P&R_Handler_Off, eFG%_P&R_Handler_Off, Freq_P&R_Man_Off, eFG%_P&R_Man_Off, Freq_Postup_Off, eFG%_Postup_Off, Freq_Putbacks_Off, eFG%_Putbacks_Off, Freq_Spotup_Off, eFG%_Spotup_Off, Freq_Tight, eFG%_Tight, Freq_Open, eFG%_Open, FGA_Catch_And_Shoot, EFG%_Catch_And_Shoot, FGA_Pull_Up, EFG%_Pull_Up, DRIVES_Drives, FG%_Drives
Aaron Gordon, 38, 75, 50, 13, 72, 46, 60, 37, 49, 54, 75, 65, 28, 77, 63, 54, 88, 45, 46, 68, 86, 94, 88, 75, 63, 34, 52, 67, 86, 44, 69, 60, 52, 64, 50, 55, 75
Aaron Holiday, 83, 38, 17, 90, 17, 18, 61, 86, 59, 73, 87, 10, 99, 78, 78, 32, 32, 84, 67, 42, 43, 57, 46, 22, 22, 68, 53, 74, 33, 31, 13, 21, 46, 55, 70, 77, 44
Aaron Nesmith, 7, 42, 42, 84, 26, 52, 28, 54, 0, 36, 35, 52, 11, 41, 42, 90, 94, 28, 29, 41, 43, 56, 46, 22, 22, 99, 24, 9, 48, 89, 14, 39, 16, 36, 36, 28, 82
Aaron Wiggins, 31, 64, 25, 26, 26, 48, 22, 48, 79, 41, 61, 48, 17, 49, 63, 33, 32, 60, 58, 41, 43, 53, 46, 73, 53, 85, 24, 63, 57, 26, 72, 51, 27, 24, 21, 63, 42
Al Horford, 68, 72, 87, 36, 87, 15, 92, 67, 82, 30, 36, 99, 70, 44, 87, 33, 32, 27, 28, 88, 63, 93, 87, 68, 96, 70, 72, 31, 73, 24, 48, 83, 38, 22, 96, 28, 94
Alec Burks, 71, 19, 64, 75, 32, 11, 18, 94, 62, 54, 78, 27, 81, 68, 61, 34, 33, 90, 57, 39, 42, 66, 67, 36, 45, 76, 76, 39, 5, 55, 11, 64, 87, 78, 70, 76, 11
Aleksej Pokusevski, 68, 73, 81, 54, 79, 81, 68, 61, 73, 51, 39, 24, 63, 50, 68, 62, 97, 64, 40, 77, 68, 62, 46, 80, 55, 64, 21, 30, 38, 51, 30, 60, 22, 53, 20, 61, 19
Alex Caruso, 83, 50, 27, 99, 50, 12, 6, 79, 71, 49, 50, 62, 77, 33, 42, 34, 33, 70, 47, 43, 41, 60, 47, 56, 27, 81, 30, 30, 15, 37, 25, 53, 45, 50, 32, 62, 25
Alperen Sengun, 78, 88, 82, 79, 93, 98, 59, 11, 38, 36, 35, 93, 33, 75, 88, 34, 34, 26, 28, 84, 63, 98, 87, 84, 72, 34, 18, 81, 54, 8, 46, 25, 15, 30, 12, 54, 26
Amir Coffey, 50, 25, 29, 34, 27, 32, 85, 57, 50, 83, 93, 80, 66, 58, 51, 60, 97, 68, 64, 47, 41, 60, 47, 40, 35, 76, 68, 24, 56, 74, 50, 64, 76, 51, 58, 51, 76
Andre Drummond, 59, 100, 100, 96, 89, 74, 79, 25, 8, 32, 32, 20, 10, 36, 40, 35, 37, 26, 27, 85, 84, 91, 69, 98, 64, 16, 16, 96, 68, 10, 95, 6, 6, 12, 34, 23, 23
Andrew Wiggins, 37, 55, 19, 44, 65, 47, 76, 54, 29, 75, 69, 45, 62, 84, 69, 78, 67, 69, 73, 47, 40, 82, 74, 55, 78, 55, 70, 43, 44, 79, 30, 87, 85, 81, 46, 79, 55
